U1	16.89	78.23	0.00	MCP73831	SOT23-5
U10	44.81	20.70	180.00	ADG779	SC70-6
U11	55.25	60.96	90.00	AD5933	SSOP-16
U12	53.34	50.67	0.00	ADS1220	TSSOP16
U13	36.20	70.23	90.00	AD5061BRJZ	SOT-23-8
U14	39.75	32.89	90.00	ADG715	TSSOP24
U15	25.40	18.80	0.00	74LVC2G86	US-8
U16	38.10	16.26	90.00	ADG704	MSOP10
U17	50.93	17.27	270.00	LMP7721	SOIC-8
U18	40.01	45.97	270.00	LMP7702	UMAX8
U19	43.18	61.09	270.00	LMP7702	UMAX8
U2	4.83	71.12	90.00	AP7365	SOT-223
U20	49.45	30.99	0.00	LMP7702	MSOP8
U21	49.61	26.95	90.00	LMP7715	SOT23-5
U22	52.83	7.37	90.00	LMP7715	SOT23-5
U3	49.02	80.90	0.00	ISL60002BAH33Z	SOT-23-3
U4	63.88	79.88	0.00	TLE2426	SOIC-8
U5	22.03	25.34	180.00	74HC595	TSSOP16
U6	26.48	32.77	180.00	74HC595	TSSOP16
U7	24.38	49.40	0.00	74LVC1G53	VSSOP8
U8	24.38	41.66	0.00	74LVC1G53	VSSOP8
U9	57.42	10.29	0.00	ADG779	SC70-6
X1	65.21	64.07	90.00	DSC6083-250kHz	DSC60XX_OSCILLATOR_3.2X2.5MM
